country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_depth_mean,has_seismic_activity,eq_frequency_score,seismic_energy_proxy,mag_depth_ratio,depth_category,lat_abs,neighbor_eq_count
United States of America,USA,North America,66.5,-154.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.30804709222932314
United States of America,USA,North America,67.5,-154.5,3.2,Low,1,4.7,4.4,1,0.6931471805599453,11220184.543019652,0.8703703703703703,1,67.5,0.2194953012890726
United States of America,USA,North America,68.5,-154.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.1107729211790305
United States of America,USA,North America,69.5,-154.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,69.5,0.024563666473925085
United States of America,USA,North America,70.5,-154.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,70.5,0.002014210353654739
United States of America,USA,North America,57.5,-153.5,3.2,Low,3,4.8667,48.3667,1,1.3862943611198906,19954920.412558857,0.09858264781725333,1,57.5,1.4066364392394286
United States of America,USA,North America,60.5,-153.5,3.2,Low,9,4.8111,163.6889,1,2.302585092994046,16468346.646543395,0.029213262095988256,2,60.5,1.6359529657777385
United States of America,USA,North America,61.5,-153.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,61.5,1.4124378754038038
United States of America,USA,North America,62.5,-153.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,62.5,0.9325477099166647
United States of America,USA,North America,63.5,-153.5,3.2,Low,1,4.7,10.2,1,0.6931471805599453,11220184.543019652,0.4196428571428572,1,63.5,0.6325757263618552
United States of America,USA,North America,64.5,-153.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,64.5,0.575954898704652
United States of America,USA,North America,65.5,-153.5,3.2,Low,2,4.95,13.2,1,1.0986122886681098,26607250.59798814,0.3485915492957747,1,65.5,0.5116767266153881
United States of America,USA,North America,66.5,-153.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,66.5,0.3137764743438752
United States of America,USA,North America,67.5,-153.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,67.5,0.14964461175317081
United States of America,USA,North America,68.5,-153.5,3.2,Low,0,0.0,0.0,0,0.0,1.0,0.0,0,68.5,0.06269118348640366
