country,iso3,continent,lat_grid,lon_grid,inform_risk_score,risk_label,eq_count,eq_mag_mean,eq_mag_max,eq_depth_mean
United States of America,USA,North America,65.5,-154.5,3.2,Low,1,5.6,5.6,10.0
United States of America,USA,North America,66.5,-154.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-154.5,3.2,Low,1,4.7,4.7,4.4
United States of America,USA,North America,68.5,-154.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-154.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,70.5,-154.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,57.5,-153.5,3.2,Low,3,4.8667,5.1,48.3667
United States of America,USA,North America,60.5,-153.5,3.2,Low,9,4.8111,5.9,163.6889
United States of America,USA,North America,61.5,-153.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,62.5,-153.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,63.5,-153.5,3.2,Low,1,4.7,4.7,10.2
United States of America,USA,North America,64.5,-153.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-153.5,3.2,Low,2,4.95,5.1,13.2
United States of America,USA,North America,66.5,-153.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-153.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-153.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-153.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,70.5,-153.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,57.5,-152.5,3.2,Low,1,4.7,4.7,1.0
United States of America,USA,North America,60.5,-152.5,3.2,Low,15,4.9133,5.8,104.86
United States of America,USA,North America,61.5,-152.5,3.2,Low,6,4.9167,5.3,134.2
United States of America,USA,North America,62.5,-152.5,3.2,Low,2,4.5,4.5,142.7
United States of America,USA,North America,63.5,-152.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,64.5,-152.5,3.2,Low,3,4.7667,5.1,22.4
United States of America,USA,North America,65.5,-152.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,66.5,-152.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-152.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-152.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-152.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,70.5,-152.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,59.5,-151.5,3.2,Low,6,4.8667,5.4,47.4167
United States of America,USA,North America,60.5,-151.5,3.2,Low,10,4.84,5.3,64.1
United States of America,USA,North America,61.5,-151.5,3.2,Low,12,4.9583,6.2,80.6667
United States of America,USA,North America,62.5,-151.5,3.2,Low,8,4.875,5.4,88.0875
United States of America,USA,North America,63.5,-151.5,3.2,Low,3,4.8,5.0,12.2
United States of America,USA,North America,64.5,-151.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-151.5,3.2,Low,1,5.1,5.1,14.8
United States of America,USA,North America,66.5,-151.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-151.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-151.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-151.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,70.5,-151.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,59.5,-150.5,3.2,Low,1,4.7,4.7,36.7
United States of America,USA,North America,60.5,-150.5,3.2,Low,5,4.64,4.8,55.28
United States of America,USA,North America,61.5,-150.5,3.2,Low,19,4.8632,5.8,49.4368
United States of America,USA,North America,62.5,-150.5,3.2,Low,9,4.7778,5.1,78.0333
United States of America,USA,North America,63.5,-150.5,3.2,Low,22,4.8727,5.8,113.7364
United States of America,USA,North America,64.5,-150.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,65.5,-150.5,3.2,Low,1,4.7,4.7,16.9
United States of America,USA,North America,66.5,-150.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-150.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-150.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-150.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,60.5,-149.5,3.2,Low,3,4.6333,4.9,31.3
United States of America,USA,North America,61.5,-149.5,3.2,Low,32,4.8969,7.1,42.6281
United States of America,USA,North America,62.5,-149.5,3.2,Low,8,4.7875,5.4,65.3375
United States of America,USA,North America,63.5,-149.5,3.2,Low,5,4.8,4.9,48.36
United States of America,USA,North America,64.5,-149.5,3.2,Low,5,4.6,4.9,68.26
United States of America,USA,North America,65.5,-149.5,3.2,Low,4,4.95,5.2,16.525
United States of America,USA,North America,66.5,-149.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,67.5,-149.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,68.5,-149.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,69.5,-149.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,60.5,-148.5,3.2,Low,0,0.0,0.0,0.0
United States of America,USA,North America,61.5,-148.5,3.2,Low,1,4.6,4.6,13.1
United States of America,USA,North America,62.5,-148.5,3.2,Low,6,4.9167,6.1,52.6167
